GEOID,county_name,total_population,equity_need_score,commute_burden_score,is_transit_desert,transit_access_index,median_household_income,predicted_burden_score,high_priority_flag
06001450102,Alameda,7376,0.3689,0.2336,0,0.0113049229250478,189975,0.139,1
06081611300,San Mateo,4946,0.2454,0.0217,1,0.0,213641,0.048,0
06095251400,Solano,5952,0.5282,0.1962,1,0.0,93091,0.1658,1
06095251500,Solano,3592,0.5708,0.1693,1,0.0,53975,0.1544,1
06095251600,Solano,2604,0.6066,0.24,1,0.0,53333,0.2147,1
06095251701,Solano,3449,0.5948,0.2383,1,0.0,66175,0.1843,1
06097153406,Sonoma,2388,0.4234,0.0473,1,0.0,105673,0.0571,0
06097153710,Sonoma,2400,0.4929,0.0776,1,0.0,81214,0.0875,0
06097152601,Sonoma,6688,0.3339,0.0825,1,0.0,159833,0.0955,0
06097153709,Sonoma,1576,0.4159,0.0,1,0.0,98805,0.0556,0
06081611500,San Mateo,2873,0.2353,0.0556,1,0.0,250001,0.0711,0
06081611600,San Mateo,2335,0.2253,0.0355,1,0.0,250001,0.0382,0
06095251702,Solano,2803,0.549,0.1978,1,0.0,83750,0.1283,0
06095251803,Solano,4774,0.5263,0.159,1,0.0,85612,0.1497,1
06095251804,Solano,3313,0.484,0.2165,1,0.0,116250,0.1367,1
06081612500,San Mateo,4524,0.2855,0.0302,1,0.0,175865,0.0703,0
06095251901,Solano,5762,0.639,0.3558,1,0.0,75802,0.202,1
06095251903,Solano,5672,0.5379,0.1777,1,0.0,84136,0.1553,1
06097153301,Sonoma,6584,0.461,0.0595,1,0.0,92635,0.0519,0
06097151702,Sonoma,4181,0.4951,0.1022,1,0.0,86961,0.0643,0
06097152602,Sonoma,1082,0.5399,0.2226,1,0.0,93487,0.2035,1
06097151506,Sonoma,6592,0.4699,0.1078,1,0.0,98750,0.067,0
06097152402,Sonoma,2850,0.4523,0.1159,1,0.0,107885,0.0868,0
06097151404,Sonoma,3190,0.4786,0.0063,1,0.0,66522,0.0636,0
06097153711,Sonoma,2819,0.4779,0.0472,1,0.0,81175,0.0659,0
06097154305,Sonoma,2173,0.359,0.0936,1,0.0,149688,0.1059,0
06097152803,Sonoma,4785,0.4809,0.033,1,0.0,74894,0.0699,0
